,Identifiers,Text_Data,Category
0,"consent,judgment,v, appeal,court",ratio decidendi appeal proliferation issues position law relates proliferation issues determination perhaps pertinent commence consideration instant appeal stating far many issues unnecessarily formulated relied upon sides appeal truth single issue would adequately provided germane questions raised appeal state pleadings quantity quality evidence adduced parties various heads damages trial court sustainable law issue formulated could naturally flowed omnibus ground appeal one grounds contained notice instant appeal proliferation issues must invariable frowned reasons farfetched consideration appeal argued basis unnecessarily proliferated issues involves avoidable waste courts counsels precious time energy furthermore clarity conclusions arrived pursuant often repetitive issues cases become beclouded efforts must thus geared towards formulation issues success arguments would result reversal decision appealed court indeed supreme court countlessly said much see araka v ejeugwu nwlr pt ca alhaji otaru sons ltd v ldris nwlr pt sc ubn pic v olori motors co ltd nwlr pt ca agbasi v ebikorefe nwlr pt sc read context view analytics evidence wrongful admissionrejection evidence whether wrongfully admittedexcluded evidence could constitute ground reversing decision appeal may need consider whether exh ca rightly admitted lower court effect wrong admission decision appealed must reminded exh ca circumstances document admitted effect mind judge course resolving issue court let state outrightly exh ca specifically pleaded respondent although ipse dexit respondents counsel appellant served notice produce examination record appeal us bear allegation dispute exhibit secondary evidence purported original original supposed internal memo written one staff appellants company onitsha office another lagos office record appeal clear dw tendered neither maker addressee document maker document testify also addressee essence possible crossexamine either maker exh ca person addressed content document importantly nothing record indicate exh ca infact written received persons alleged worst still neither judge judgment reproduced content document court afforded opportunity physically examine content exhibit exh ca part record appeal transmitted court foregoing antecedents surrounding exhibit admission appropriate refer case iphie v plateau auditing co nrnlr case plaintiff sued balance salary accountant service defendant company plaintiff provided evidence services engaged orally accepted writing copy letter acceptance tendered evidence trial magistrate admitted copy inspite objection raised thereto notice produce served defendant plaintiff also led evidence show,Civil
1,"consent,judgment,v, appeal,court",paid three times defendant tendered evidence counterfoils receipt book admissibility counterfoils objected basis copy plaintiffs letter employment magistrate admitted two categories document apparently basis notice necessarily required served defendants company appeal held foundation must necessarily laid evidence act since shown tendered document infact received defendant wrongly received evidence said exh ca singular reason adjudged inadmissible accordingly must hereby ordered expunged records must emphasize reasons rules court provided pleadings litigation pleadings allow parties define case intend fashion defence would raised thereto disallow element surprise consequently defence led unpleaded facts always held inadmissible see sbn plc v mpie ltd nwlr pt ca isern v catholic bishop warri diocese nwlr pt sc thus accident whereas order rule anambra state high court rules necessary specifically plead document facts appellant would rely document admitted must rule order positively precisely alleged pleadings paragraph respondents statement claim stated follows plaintiff pleads trial seek leave court rely documents establishing defendants negligence incompetence exh ca ostensibly tendered pursuant foregoing paragraph manifest paragraph unreasonable expect appellant imprecise state pleading know reference bring made exh ca pleading cannot avail respondent ascribing relevance document issues stake trial defect pleadings respondent absence required evidence original exh ca infact possession appellant made admission document resort evidence act using document appellant manifestly unjust document never probative value ascribed court chiefly maker neither called origin destination fully ascertained even first reason alone lower court discountenanced document see okonkwo v state nwlr pt resolution first issue determination appeal necessarily mean success appellant entire appeal submitted respondents counsel appeal would succeed expunging exhibit effect credible evidence persists comes incapable sustaining decision lower court consideration submission invariably leads us appellants sixth issue determination appeal drawn omnibus ground notice appeal would appropriate though firstly clear coast tackling preliminary matter posed nd issue determination appeal question asked issue job cards involved transaction parties appeal created contractual relationship breach provided cause action suit lower court job card dated first time received evidence exh e subsequent job card possession appellant appellant served notice produce notice complied held lower court relevant contractual document light pleadings court conclusion cannot faulted paragraphs respondents statement claim paragraph appellants statement defence warranted lower courts conclusion settled issue parties two job cards existed one come mutual agreement transaction created former become subsumed subsequent relationship contained latter evidence abound print record proof settled facts must conceded,Civil
2,"consent,judgment,v, appeal,court",respondent basic rule evidence admitted facts needed proof finding lower court regarding applicable contractual document gave effect principle law evidence rule pleadings regard instructive reminded evidence act order rule rules lower court state pleadings parties available credible evidence sustain decision lower court course effortlessly trial court labouriously reviewing case evidence two parties say judgment p record court dealing case contract areas common agreement areas conflict evidence parties witnesses common ground plaintiff took mercedes benz sel registration la mm engine chasis defendant coys workshop onitsha repair job jobcard opened dated nd jobcard also opened respect plaintiffs car sel job card repair job done plaintiffs complaint car driven back defendant coys workshop onitsha diagnosisinvestigation necessary repairs car driven back defendant coy car defendant coy quite long period time diagnosis repairs shifted one fault another plaintiffs engine eventually taken away defendant coy lagos head office plaintiff advised towaway remnant body vehicle avoid vandalisation thereof areas conflict include following plaintiff stated took mercedes benz car la mm defendant coy workshop onitsha minor repair job change exhaust manifold gasket defendant coys stated car brought multiple complaints b plaintiff stated car engine problem took minor repair job defendant coys workshop onitsha defendant coy claimed plaintiff brought car defendant coys workshop engine worm c plaintiff claimed defendantcoy working cylinder head particularly regrinding valve upon reinstalling engine hooked stopped got damaged result defendant coys negligence incompetence andor recklessness court continued consideration issues thus crucial question determination case include inter alia followings problem problems motivated plaintiff take mercedes benz sel car defendant coys onitsha workshop kind nature quality job done plaintiffs car become necessary drive plaintiffs car back nd time defendant coys long plaintiffs car stay defendant coys custody engine eventually sent defendant coys lagos head office plaintiffs car stay length time engine finally dispatched defendant coys head office lagos became contract visavis fresh new contract true court see p record largely based finding negligence part appellant exh ca expunged still considered view light evidence given pw pw evidence remained uncontradicted conclusion negligence would arrived without necessarily drawing expunged document particular pw expert testified fact appellants diagnosis faults respondents vehicle wrong repairs conducted sum appellant uncontradicted testimony pw pw shown displayed discharge obligation respondent deficient skill trial courts reason finding appellant negligent might therefore wrong finding court bound use evidence remained,Civil
3,"consent,judgment,v, appeal,court",unshaken uncontradicted see oyetayo v mosojo nwlr pt dimlong v dimlong nwlr pts ca ifeanyi chukwu osondu read context view analytics damages award damages guiding principles award damages breach contract outstanding issues appeal pertain nature awards made trial court whether awards light pleadings evidence court lawful whether award damages made trial court would sustained depends upon prayers put beneficiary court evidence led justify secure relief given thus practice evolved categorizing supplicants prayer one either special general damages set rules adumbrated plethora judicial authorities grant either categories damages authorities evolved pursuant various adjectival laws specify prayers respect category damages would made litigant approaches court law praying suffered disadvantage following act default another litigant prays disadvantage peculiarly suffered proximate actual inevitable result actionable wrong recompense given process law restore supplicant injured position party would injury award called one special damages general damages hand law implies presumes accrued actionable wrong basis immediacy directness necessity whereas later category evolved result legal presumption former category cannot presumed see shell petroleum dev co v tiebo nwlr pt ebe v nnamani nwlr pt momodu v university benin nwlr pt nwangwa v ubani nwlr pt ca case hand one wherein breach contractual duty provided cause action although become practice categorise damages two classes alluded supra undesirability categorisation award damages contract cases emphasised courts well courts found terms special general damages actions breach contract inept damages naturally resulted breach contract recoverable case hadley v baxendale exch provided guiding principle determining measure damages recoverable breach contract cases held two parties made contract one broken damages party ought receive respect breach contract may fairly reasonably considered either naturally according usual course things breach contract may reasonably supposed contemplation parties time made contract probable result breach foregoing principle imbibed applied supreme court wilfred omonuwa v wahabi sc idigbe jsc stated preparation claim well consideration award consequence breach contract measure damages loss flowing naturally breach incurred direct consequence violation thus terms general special damages purpose awards cases breach contract point must make point apart damages naturally resulting breach form general damages contemplated going passage appellants third issue would appear misconceived perusal respondents claims reproduced earlier judgment reveal third last lot general damages part lower court nd rd reliefs granted respondent christened special general damages appellations indicated unnecessary words idigbe jsc omonuwa v wahabi supra concerned litigants lower,Civil
4,"consent,judgment,v, appeal,court",court preparation claim well consideration awards consequence breach contract damages loss flowing naturally breach incurred direct consequence violation categorisation damages claimed awarded special general therefore inept see also swissnigeria wood industries ltd v daniko bogo alr gregoire agboye v national motors ltd nclr however facts constituted cause action instant case grounded tort well consideration appellants rd issue beyond far undertaken ensue presently become trite special damages claimed must specifically pleaded strictly proved pleadings evidence proof character act omission resulted damage loss recompense claimed must alleged led particularity certainty appellants counsel said much brief one must agree must particularly pleaded value failure particularise items pleadings evidence always adjudged fatal eventual award see momodu v university benin nwlr pt adedeji v immeh nwlr pt ijebuode lga v adedeji balogun co ltd nwlr ptl respondents st nd heads claim clearly fall category damages dubbed special appellant asked interfere category award neither pleadings respondent evidence led proof contained particularity certainty required law going totality pleadings evidence led respondent agree trial judge sufficient particulars provided respect two heads claim appellant knew trial particular allegations two heads certain evidence proof claims trial proof nd head claim respondent tendered receipts exh ca ca evidencing payments hired vehicles evidence challenged court rightly acted exhibits arrive sum awarded respect head claim thereto st head claim cost respondents car engine addition ipse dexit respondent pw also testified issue evidence remained uncontroverted mean appellant challenge heads special damages either pleadings way offering evidence contradiction even discrediting respondents case law must deemed conceded items special damages see adimora v ajufa nwlr pt calabar east cooperative thrift credit society v ikot nwlr pt sc rd issue must also resolved appellant appellants th th issues questioned rationale awards made court replacement respondents car engine damaged general damages breach contract view already expressed respondent proved first head claim required law respondent shown appellant damaged car engine respondent particularised cost engine pleadings evidence led must pointed respondents st head claim one special damages neither challenged appellants pleadings evidence court trial option accept act respondents credible uncontroverted evidence see omoregbe v lawani sc bello v eweka sc odulaja v haddad sc lower court instant case inspite fact appellant neither challenged pleadings evidence proof respondents st head claim lower court arbitrarily proceeded award respondent nm instead nm claimed cogent uncontroverted evidence supplied answer appellant th issue determination must said award nm respect respondents st head claim arbitrary cannot said legal basis court option act evidence awarding relief,Civil
5,"consent,judgment,v, appeal,court",sustained body evidence see boshali v allied commercial exporters ltd scnlr calabar east cooperative thrift credit society v lkot supra issue accordingly resolved favour appellant adverse consequences appear th issue determination respondent also asking rationale behind award general damages pursuant respondents third head claim appellants complaint cannot ignored lower court seem appreciated rule governing award damages contract also tort rule plaintiff entitled placed position would contract breached award must even appear windfall dicta oputa nnaemeka agu jjsc stephen okongwu v nnpc nwlr pt li p respectively provided principle governing awards damages principle become trite oputa jsc p general rule measure damages contract also tort measure damages equivalent ought reflect sum money put party injured suffered position would sustained wrong getting compensation reparation see lord blackburn livingstone v rawyards coal co app cas p per nnaemeka agu jsc p principle assessment damages breach contract applied courts restitutio intergrum far damages remote plaintiff shall restored far money position would breach occurred wertheim v chieoutimi pulp co ac p principle resitutio opulation giving wind fall applying foregoing principle facts instant case correct award damages respect respondents st nd heads claim made respondent would restored monetarily position would breach contract occurred would placed position replace damaged engine car equally would reimbursed services alternative vehicle charter resulting appellants breach unable use one fortified exposition following cases well yaskey v city council waca pools v agboje nlr union bank ltd v ogboh nwlr pt read context view analytics appeal interference award damages circumstances appellate court interfere award damages made trial court appellants th th issues must formulated view level review damages awarded respondent find lower courts award incorrect supreme court provided conditions virtue appellate court justified interfering award damages made trial court trial judge acted mistake law acted disregard principles acted misapprehension facts taken account unrelevant matters failed take account relevant matters injustice would result appellate court interfere amount either ridiculously low ridiculously high must wholly erroneous estimate damages see soleh boneh overseas nig ltd v ayodele nwlr pt union bank nig ltd v odusate bookstores ltd nwlr pt instant case beyond awards made lower court respect st nd heads claim respondent would overcompensated would principle double damages see salawu ogundipe v attorney general kwara state nwlr pt john holt vent ltd v oputa nwlr pt momodu v university benin supra one combination reasons articulated,Civil
6,"consent,judgment,v, appeal,court",judicial decisions enabling interference awards made trial courts one compelled set aside award made respect respondents third head claim award respect st head equally reviewed read nm place nm granted lower court award respect nd head affirmed read context view analytics damages award damages guiding principles award damages breach contract learned brother observed pointedly courts found terms special general damages actions breach contract inept observed damages naturally resulted breach contract recoverable wish stress point contract basically dichotomy special general damages position tort narrow distinction often surmised one without difference contract damages simpliciter loss arising breach loss must contemplation parties one reasonably contemplated loss must real speculative imagined contract unlike tort authorities point damages simpliciter without distinction dichotomy trial court puts point focus put party unwarranted state opulence refer barau v cubitts nig ltd nwlr pt p fz co ltd v ogedengbe nlr p photo production ltd v securicor transport ltd ac harbutts plasticine ltd v wayne tank pump coy qb karsales harrows ltd v wallis er position stated codified vide sections contract law cap laws anambra state read context view analytics judgement summary introduction appeal borders civil procedure facts appeal judgment hon justice ba nwankwo anambra state high court sitting onitsha dated th september facts case appellants claim defendant high court reliefs breach contract pleadings ordered filed exchanged respondents case gathered pleadings mercedes benz car registration la mm engine chasis first taken appellants onitsha office ordinary request replacement cars manifold gasket job card created th october took appellant weeks carry replacement car eventually returned state worsened beyond,Civil
7,"consent,judgment,v, appeal,court",ordinary problem exhaust manifold gasket respondents complaint appellant deteriorating condition formers vehicle latter dispatched one mechanics recovered vehicle respondents case appellant made diagnosis vehicle recommended overhauling cylinder head vide job card state car worsened second repairs degenerating subsequent uncalled series endless repairs resultantly appellants incompetence recklessness vehicles engine totally damaged vehicle dumped appellants onitsha office th september respondent removed forestall damage removal vehicle without complete engine automatic gear box startermotor air condition compressor hoses two waybills dated th september respectively conveyed fact removal waybills issued appellant respondent relied upon trial latter onitsha workshop manager appellant respondent signatories said waybills respondent charter alternative vehicle daily cost n pleaded sought rely document establishing appellants negligence incompetence predicating damage suffered therefrom pragraph statement defence appellant admitted respondents vehicle first taken premises th october simple replacement cars exhaust manifold gasket details repairs authorised conducted contained job card appellant pleaded promised rely upon trial appellants case therefore repairs respondents vehicle conducted deligently professional skill competence required considered necessary nonproduction appellant subsequent job card sought relied upon respondent admitted evidence trial relevant job car card dated end trial high court found respondent entered judgment favour dissatisfied appellant appealed court appeal issues court determined appeal theses issues couched follows,Civil
8,"consent,judgment,v, appeal,court",whether learned trial judge right admit exhibit ca evidence whether learned trial judge correct held document contract exh e repair order whether learned trial judge correct held plaintiffrespondent bound plead particulars negligence merely indicating case suffices particulars negligence whether basis award n one million five hundred thousand naira learned trial judge held believe plaintiffrespondents evidence cost engines whether correct basis award n five hundred fifty thousand naira respondent general damages whether preponderance evidence respondent discharged onus establishing negligence part appellant decisionheld whole court allowed appeal part judgment thereby entered favour respondent sum nm st head claim n nd head claim musa dattijo muhammad jca delivering leading judgment appeal judgment hon justice ba nwankwo anambra state high court sitting onitsha dated th september judgment favour respondent us lower court plaintiff present appellant defendant hereinafter parties referred simply appellant,Civil
9,"consent,judgment,v, appeal,court",respondent respectively facts case upon appeal built briefly immediately stated appellants claim defendant lower court following reliefs two million naira nk cost replacement plaintiffs said sel mercedes benz car destroyed defendant b five hundred naira n per day th january till date judgment cost chartering vehicle plaintiffs movementbusiness c one million naira nk general damages emotional distress financial social disabilities pleadings ordered filed exchanged respondents case gathered pleadings mercedes benz car registration la mm engine chasis first taken appellants onitsha office ordinary request replacement cars manifold gasket job card created,Civil
